"idsite","idearthquake","idbuilding","sdr","pfa","idresponse"
1,1,1,0.0013316,0.063415,6993
1,1,1,0.00097872,0.090408,6994
2,1,1,0.00029839,0.018157,6995
2,1,1,0.00023448,0.023553,6996
3,1,1,0.0012284,0.054326,6997
3,1,1,0.00094086,0.091966,6998
4,1,1,0.00158,0.076301,6999
4,1,1,0.0011589,0.1098,7000
5,1,1,0.00066301,0.039127,7001
5,1,1,0.00050763,0.051328,7002
6,1,1,0.0013396,0.081462,7003
6,1,1,0.0010259,0.10074,7004
7,1,1,0.001113,0.068439,7005
7,1,1,0.00086466,0.085552,7006
8,1,1,0.0055122,0.2361,7007
8,1,1,0.0037352,0.33534,7008
9,1,1,0.0013625,0.070256,7009
9,1,1,0.0010694,0.10384,7010
10,1,1,0.0015504,0.075132,7011
10,1,1,0.0010995,0.1014,7012
11,1,1,0.0042429,0.24207,7013
11,1,1,0.0032597,0.33322,7014
12,1,1,0.01157,0.29342,7015
12,1,1,0.0062658,0.39879,7016
13,1,1,0.0029714,0.17807,7017
13,1,1,0.0022715,0.2238,7018
14,1,1,0.0015536,0.079809,7019
14,1,1,0.0011111,0.10755,7020
15,1,1,0.0023709,0.098534,7021
15,1,1,0.0018644,0.18232,7022
16,1,1,0.0013428,0.099638,7023
16,1,1,0.00095535,0.10665,7024
17,1,1,0.0022637,0.10841,7025
17,1,1,0.0017149,0.16544,7026
18,1,1,0.0086462,0.24169,7027
18,1,1,0.0052829,0.37222,7028
19,1,1,0.010652,0.33568,7029
19,1,1,0.0075442,0.41381,7030
20,1,1,0.00080228,0.043061,7031
20,1,1,0.00059296,0.061393,7032
21,1,1,0.0019082,0.091468,7033
21,1,1,0.0014489,0.13809,7034
22,1,1,0.012163,0.28521,7035
22,1,1,0.0089629,0.33548,7036
23,1,1,0.0013872,0.068884,7037
23,1,1,0.0010165,0.097778,7038
24,1,1,0.0022406,0.098344,7039
24,1,1,0.0016734,0.1576,7040
25,1,1,0.0014734,0.065693,7041
25,1,1,0.0011311,0.1103,7042
26,1,1,0.0017108,0.095104,7043
26,1,1,0.0013529,0.13519,7044
