"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
1,1,6,0.0023536,0.2371,1
1,1,6,0.0024056,0.17988,2
1,1,6,0.0024451,0.15374,3
1,1,6,0.0024691,0.12328,4
1,1,6,0.0024764,0.1525,5
1,1,6,0.0024691,0.16737,6
1,1,6,0.002446,0.1579,7
1,1,6,0.0024033,0.14644,8
1,1,6,0.0023357,0.14573,9
1,1,6,0.0022407,0.18629,10
1,1,6,0.0021225,0.2156,11
1,1,6,0.0019818,0.22703,12
1,1,6,0.0018016,0.22317,13
1,1,6,0.0016391,0.20722,14
1,1,6,0.0014693,0.18962,15
1,1,6,0.0013726,0.17431,16
1,1,6,0.0012465,0.16274,17
1,1,6,0.0010478,0.14033,18
1,1,6,0.000756,0.11679,19
1,1,6,0.00035553,0.10105,20
2,1,6,0.0006394,0.17072,21
2,1,6,0.00064902,0.12029,22
2,1,6,0.00064856,0.069243,23
2,1,6,0.00063414,0.073124,24
2,1,6,0.00060381,0.099028,25
2,1,6,0.00055707,0.11647,26
2,1,6,0.00049504,0.13143,27
2,1,6,0.000435,0.13045,28
2,1,6,0.0003951,0.1211,29
2,1,6,0.00035091,0.1384,30
2,1,6,0.00029871,0.14822,31
2,1,6,0.00030231,0.15158,32
2,1,6,0.00031608,0.15785,33
2,1,6,0.00032632,0.15691,34
2,1,6,0.00032921,0.14814,35
2,1,6,0.00032479,0.13172,36
2,1,6,0.00030192,0.10784,37
2,1,6,0.00026813,0.08297,38
2,1,6,0.00021064,0.075787,39
2,1,6,0.00012174,0.067271,40
3,1,6,0.0015147,0.1878,41
3,1,6,0.001544,0.12845,42
3,1,6,0.0015635,0.093087,43
3,1,6,0.0015735,0.082843,44
3,1,6,0.0015712,0.10323,45
3,1,6,0.0015551,0.1207,46
3,1,6,0.0015264,0.14754,47
3,1,6,0.0014826,0.16465,48
3,1,6,0.0014345,0.16091,49
3,1,6,0.0013972,0.17482,50
3,1,6,0.0013515,0.18152,51
3,1,6,0.0012967,0.18032,52
3,1,6,0.0012313,0.17097,53
3,1,6,0.0011576,0.15434,54
3,1,6,0.0010812,0.13874,55
3,1,6,0.00099483,0.12871,56
